,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
0,50,0,83311,0,13,0,0,0,0,0,0,0,13,0,0
1,38,0,215646,0,9,0,0,0,0,0,0,0,40,0,0
2,53,0,234721,0,7,0,0,0,0,0,0,0,40,0,0
3,28,0,338409,0,13,0,0,0,0,1,0,0,40,0,0
4,37,0,284582,0,14,0,0,0,0,1,0,0,40,0,0
5,49,0,160187,0,5,0,0,0,0,1,0,0,16,0,0
6,52,0,209642,0,9,0,0,0,0,0,0,0,45,0,1
7,31,0,45781,0,14,0,0,0,0,1,14084,0,50,0,1
8,42,0,159449,0,13,0,0,0,0,0,5178,0,40,0,1
9,37,0,280464,0,10,0,0,0,0,0,0,0,80,0,1
10,30,0,141297,0,13,0,0,0,0,0,0,0,40,0,1
11,23,0,122272,0,13,0,0,0,0,1,0,0,30,0,0
12,32,0,205019,0,12,0,0,0,0,0,0,0,50,0,0
13,40,0,121772,0,11,0,0,0,0,0,0,0,40,0,1
14,34,0,245487,0,4,0,0,0,0,0,0,0,45,0,0
15,25,0,176756,0,9,0,0,0,0,0,0,0,35,0,0
16,32,0,186824,0,9,0,0,0,0,0,0,0,40,0,0
17,38,0,28887,0,7,0,0,0,0,0,0,0,50,0,0
18,43,0,292175,0,14,0,0,0,0,1,0,0,45,0,1
19,40,0,193524,0,16,0,0,0,0,0,0,0,60,0,1
20,54,0,302146,0,9,0,0,0,0,1,0,0,20,0,0
21,35,0,76845,0,5,0,0,0,0,0,0,0,40,0,0
22,43,0,117037,0,7,0,0,0,0,0,0,2042,40,0,0
23,59,0,109015,0,9,0,0,0,0,1,0,0,40,0,0
24,56,0,216851,0,13,0,0,0,0,0,0,0,40,0,1
25,19,0,168294,0,9,0,0,0,0,0,0,0,40,0,0
26,54,0,180211,0,10,0,0,0,0,0,0,0,60,0,1
27,39,0,367260,0,9,0,0,0,0,0,0,0,80,0,0
28,49,0,193366,0,9,0,0,0,0,0,0,0,40,0,0
29,23,0,190709,0,12,0,0,0,0,0,0,0,52,0,0
30,20,0,266015,0,10,0,0,0,0,0,0,0,44,0,0
31,45,0,386940,0,13,0,0,0,0,0,0,1408,40,0,0
32,30,0,59951,0,10,0,0,0,0,0,0,0,40,0,0
33,22,0,311512,0,10,0,0,0,0,0,0,0,15,0,0
34,48,0,242406,0,7,0,0,0,0,0,0,0,40,0,0
35,21,0,197200,0,10,0,0,0,0,0,0,0,40,0,0
36,19,0,544091,0,9,0,0,0,0,1,0,0,25,0,0
37,31,0,84154,0,10,0,0,0,0,0,0,0,38,0,1
38,48,0,265477,0,12,0,0,0,0,0,0,0,40,0,0
39,31,0,507875,0,5,0,0,0,0,0,0,0,43,0,0
40,53,0,88506,0,13,0,0,0,0,0,0,0,40,0,0
41,24,0,172987,0,13,0,0,0,0,0,0,0,50,0,0
42,49,0,94638,0,9,0,0,0,0,1,0,0,40,0,0
43,25,0,289980,0,9,0,0,0,0,0,0,0,35,0,0
44,57,0,337895,0,13,0,0,0,0,0,0,0,40,0,1
45,53,0,144361,0,9,0,0,0,0,0,0,0,38,0,0
46,44,0,128354,0,14,0,0,0,0,1,0,0,40,0,0
47,41,0,101603,0,11,0,0,0,0,0,0,0,40,0,0
48,29,0,271466,0,11,0,0,0,0,0,0,0,43,0,0
49,25,0,32275,0,10,0,0,0,0,1,0,0,40,0,0
50,18,0,226956,0,9,0,0,0,0,1,0,0,30,0,0
51,47,0,51835,0,15,0,0,0,0,1,0,1902,60,0,1
52,50,0,251585,0,13,0,0,0,0,0,0,0,55,0,1
53,47,0,109832,0,9,0,0,0,0,0,0,0,60,0,0
54,43,0,237993,0,10,0,0,0,0,0,0,0,40,0,1
55,46,0,216666,0,3,0,0,0,0,0,0,0,40,0,0
56,35,0,56352,0,11,0,0,0,0,0,0,0,40,0,0
57,41,0,147372,0,9,0,0,0,0,0,0,0,48,0,0
58,30,0,188146,0,9,0,0,0,0,0,5013,0,40,0,0
